EmployeeKey,ParentEmployeeKey,EmployeeNationalIDAlternateKey,FirstName,LastName,Title,HireDate,BirthDate,LoginID,EmailAddress,Phone,MaritalStatus,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,DepartmentName,StartDate,EndDate,Status
27,23,360868122,Zheng,Mu,Production Supervisor - WC10,2008-07-03,1983-05-26,adventure-works\zheng0,zheng0@adventure-works.com,113-555-0173,S,M,2,25.00,66,53,1,Production,2008-07-03,NULL,Current
28,111,964089218,Ivo,Salmre,Production Technician - WC20,2008-07-04,1981-08-03,adventure-works\ivo0,ivo0@adventure-works.com,115-555-0179,M,M,1,14.00,9,24,1,Production,2008-07-04,NULL,Current
29,89,384162788,Paul,Komosinski,Production Technician - WC40,2008-07-04,1980-06-13,adventure-works\paul0,paul0@adventure-works.com,147-555-0160,S,M,1,15.00,68,54,1,Production,2008-07-04,NULL,Current
30,154,749389530,Ashvini,Sharma,Network Administrator,2008-07-04,1976-10-25,adventure-works\ashvini0,ashvini0@adventure-works.com,656-555-0119,S,M,2,324.519,70,55,1,Information Services,2008-07-04,NULL,Current
31,16,571658797,Kendall,Keil,Production Technician - WC50,2008-07-05,1985-12-28,adventure-works\kendall0,kendall0@adventure-works.com,138-555-0128,M,M,1,11.00,11,25,1,Production,2008-07-05,NULL,Current
32,143,535145551,Paula,Barreto de Mattos,Human Resources Manager,2008-07-06,1975-09-11,adventure-works\paula0,paula0@adventure-works.com,523-555-0175,M,F,2,271.394,54,47,1,Human Resources,2008-07-06,NULL,Current
33,214,761597760,Alejandro,McGuel,Production Technician - WC40,2008-07-06,1988-07-05,adventure-works\alejandro0,alejandro0@adventure-works.com,668-555-0130,S,M,1,15.00,52,46,1,Production,2008-07-06,NULL,Current
34,188,271438431,Garrett,Young,Production Technician - WC30,2008-07-07,1984-03-25,adventure-works\garrett0,garrett0@adventure-works.com,609-555-0179,S,M,1,9.50,34,37,1,Production,2008-07-07,NULL,Current
35,138,160739235,Jian Shuo,Wang,Production Technician - WC30,2008-07-07,1983-02-24,adventure-works\jianshuo0,jianshuo0@adventure-works.com,952-555-0178,S,M,1,9.50,36,38,1,Production,2008-07-07,NULL,Current
36,87,586486572,Susan,Eaton,Stocker,2008-07-07,1977-09-17,adventure-works\susan0,susan0@adventure-works.com,943-555-0196,S,F,1,9.00,97,68,1,Shipping and Receiving,2008-07-07,NULL,Current
37,87,337752649,Vamsi,Kuppa,Shipping and Receiving Clerk,2008-07-07,1976-10-16,adventure-works\vamsi0,vamsi0@adventure-works.com,937-555-0137,M,M,2,9.50,95,67,1,Shipping and Receiving,2008-07-07,NULL,Current
38,40,113695504,Alice,Ciccu,Production Technician - WC50,2008-07-07,1977-08-26,adventure-works\alice0,alice0@adventure-works.com,333-555-0173,M,F,1,11.00,95,67,1,Production,2008-07-07,NULL,Current
39,9,276751903,Simon,Rapier,Production Technician - WC60,2008-07-08,1989-12-15,adventure-works\simon0,simon0@adventure-works.com,963-555-0134,S,M,1,12.45,38,39,1,Production,2008-07-08,NULL,Current
40,23,630184120,Jinghao,Liu,Production Supervisor - WC50,2008-07-08,1988-09-05,adventure-works\jinghao0,jinghao0@adventure-works.com,794-555-0159,S,M,2,25.00,77,58,1,Production,2008-07-08,NULL,Current
41,186,545337468,Michael,Hines,Production Technician - WC20,2008-07-09,1989-12-15,adventure-works\michael0,michael0@adventure-works.com,218-555-0126,S,M,1,14.00,20,30,1,Production,2008-07-09,NULL,Current
42,163,713403643,Yvonne,McKay,Production Technician - WC45,2008-07-09,1988-11-13,adventure-works\yvonne0,yvonne0@adventure-works.com,286-555-0189,M,F,1,10.00,79,59,1,Production,2008-07-09,NULL,Current
43,204,885055826,Peng,Wu,Quality Assurance Supervisor,2008-07-09,1975-10-17,adventure-works\peng0,peng0@adventure-works.com,164-555-0164,M,M,2,216.346,81,60,1,Quality Assurance,2008-07-09,NULL,Current
44,112,441044382,Jean,Trenary,Information Services Manager,2008-07-11,1975-07-13,adventure-works\jean0,jean0@adventure-works.com,685-555-0120,S,F,2,504.808,65,52,1,Information Services,2008-07-11,NULL,Current
45,76,718299860,Russell,Hunter,Production Technician - WC50,2008-07-12,1972-06-25,adventure-works\russell0,russell0@adventure-works.com,786-555-0144,M,M,1,11.00,6,23,1,Production,2008-07-12,NULL,Current
46,23,685233686,A. Scott,Wright,Master Scheduler,2008-07-12,1968-04-17,adventure-works\ascott0,ascott0@adventure-works.com,992-555-0194,S,M,2,235.577,44,42,1,Production Control,2008-07-12,NULL,Current
47,214,295971920,Fred,Northup,Production Technician - WC40,2008-07-12,1989-01-23,adventure-works\fred0,fred0@adventure-works.com,818-555-0192,S,M,1,15.00,47,43,1,Production,2008-07-12,NULL,Current
48,7,95958330,Sariya,Harnpadoungsataya,Marketing Specialist,2008-07-12,1986-12-19,adventure-works\sariya0,sariya0@adventure-works.com,399-555-0176,S,M,2,144.231,45,42,1,Marketing,2008-07-12,NULL,Current
49,32,332040978,Willis,Johnson,Recruiter,2008-07-13,1978-02-15,adventure-works\willis0,willis0@adventure-works.com,778-555-0141,S,M,2,182.692,49,44,1,Human Resources,2008-07-13,NULL,Current
50,40,857651804,Jun,Cao,Production Technician - WC50,2008-07-14,1979-02-03,adventure-works\jun0,jun0@adventure-works.com,299-555-0113,S,M,1,11.00,90,65,1,Production,2008-07-14,NULL,Current
51,222,553069203,Christian,Kleinerman,Maintenance Supervisor,2008-07-14,1975-08-18,adventure-works\christian0,christian0@adventure-works.com,846-555-0157,M,M,2,204.327,92,66,1,Facilities and Maintenance,2008-07-14,NULL,Current
52,188,351069889,Susan,Metters,Production Technician - WC30,2008-07-14,1982-10-31,adventure-works\susan1,susan1@adventure-works.com,639-555-0164,S,F,1,9.50,31,35,1,Production,2008-07-14,NULL,Current
53,23,370989364,Reuben,D'sa,Production Supervisor - WC40,2008-07-15,1987-03-27,adventure-works\reuben0,reuben0@adventure-works.com,191-555-0112,M,M,2,25.00,72,56,1,Production,2008-07-15,NULL,Current
54,126,275962311,Kirk,Koenigsbauer,Production Technician - WC45,2008-07-15,1984-09-06,adventure-works\kirk0,kirk0@adventure-works.com,669-555-0150,S,M,1,10.00,74,57,1,Production,2008-07-15,NULL,Current
55,20,36151748,David,Ortiz,Production Technician - WC60,2008-07-15,1984-07-29,adventure-works\david2,david2@adventure-works.com,712-555-0119,M,M,1,12.45,33,36,1,Production,2008-07-15,NULL,Current
56,92,540688287,Tengiz,Kharatishvili,Control Specialist,2008-07-16,1989-11-26,adventure-works\tengiz0,tengiz0@adventure-works.com,910-555-0116,S,M,2,168.269,76,58,1,Document Control,2008-07-16,NULL,Current
57,147,568596888,Hanying,Feng,Production Technician - WC20,2008-07-16,1974-05-16,adventure-works\hanying0,hanying0@adventure-works.com,319-555-0139,S,M,1,14.00,15,27,1,Production,2008-07-16,NULL,Current
58,214,918737118,Kevin,Liu,Production Technician - WC40,2008-07-17,1985-07-25,adventure-works\kevin1,kevin1@adventure-works.com,714-555-0138,S,M,1,15.00,58,49,1,Production,2008-07-17,NULL,Current
59,18,801758002,Annik,Stahl,Production Technician - WC60,2008-07-17,1976-07-26,adventure-works\annik0,annik0@adventure-works.com,499-555-0125,M,M,1,12.45,17,28,1,Production,2008-07-17,NULL,Current
60,40,415823523,Suroor,Fatima,Production Technician - WC50,2008-07-17,1977-09-25,adventure-works\suroor0,suroor0@adventure-works.com,932-555-0161,S,M,1,11.00,93,66,1,Production,2008-07-17,NULL,Current
61,142,363923697,Deborah,Poe,Accounts Receivable Specialist,2008-07-18,1975-10-05,adventure-works\deborah0,deborah0@adventure-works.com,602-555-0194,M,F,2,19.00,60,50,1,Finance,2008-07-18,NULL,Current
62,76,674171828,Jim,Scardelis,Production Technician - WC50,2008-07-19,1986-04-08,adventure-works\jim0,jim0@adventure-works.com,679-555-0113,M,M,1,11.00,1,20,1,Production,2008-07-19,NULL,Current
63,177,138280935,Carole,Poland,Production Technician - WC30,2008-07-19,1983-05-19,adventure-works\carole0,carole0@adventure-works.com,688-555-0192,M,F,1,9.50,42,41,1,Production,2008-07-19,NULL,Current
64,188,476115505,George,Li,Production Technician - WC30,2008-07-21,1976-11-14,adventure-works\george0,george0@adventure-works.com,518-555-0199,M,M,1,9.50,26,33,1,Production,2008-07-21,NULL,Current
65,89,502058701,Gary,Yukish,Production Technician - WC40,2008-07-22,1987-12-15,adventure-works\gary0,gary0@adventure-works.com,901-555-0125,S,M,1,15.00,69,54,1,Production,2008-07-22,NULL,Current
66,23,7201901,Cristian,Petculescu,Production Supervisor - WC10,2008-07-22,1983-11-10,adventure-works\cristian0,cristian0@adventure-works.com,434-555-0133,M,M,2,25.00,67,53,1,Production,2008-07-22,NULL,Current
67,147,97728960,Raymond,Sam,Production Technician - WC20,2008-07-23,1966-09-30,adventure-works\raymond0,raymond0@adventure-works.com,226-555-0197,M,M,1,14.00,10,25,1,Production,2008-07-23,NULL,Current
68,44,525932996,Janaina,Bueno,Application Specialist,2008-07-23,1984-08-30,adventure-works\janaina0,janaina0@adventure-works.com,623-555-0155,M,F,2,274.038,71,55,1,Information Services,2008-07-23,NULL,Current
69,16,843479922,Bob,Hohman,Production Technician - WC50,2008-07-24,1979-03-16,adventure-works\bob0,bob0@adventure-works.com,611-555-0116,S,M,1,11.00,12,26,1,Production,2008-07-24,NULL,Current
70,214,370487086,Shammi,Mohamed,Production Technician - WC40,2008-07-24,1980-05-04,adventure-works\shammi0,shammi0@adventure-works.com,793-555-0179,M,M,1,15.00,53,46,1,Production,2008-07-24,NULL,Current
71,40,54759846,Linda,Moschell,Production Technician - WC50,2008-07-25,1987-02-14,adventure-works\linda0,linda0@adventure-works.com,612-555-0171,M,F,1,11.00,96,68,1,Production,2008-07-25,NULL,Current
72,32,619308550,Mindy,Martin,Benefits Specialist,2008-07-25,1984-06-20,adventure-works\mindy0,mindy0@adventure-works.com,522-555-0147,M,F,2,165.865,51,45,1,Human Resources,2008-07-25,NULL,Current
73,143,121491555,Wendy,Kahn,Finance Manager,2008-07-25,1984-05-11,adventure-works\wendy0,wendy0@adventure-works.com,248-555-0134,S,F,2,432.692,55,47,1,Finance,2008-07-25,NULL,Current
74,87,420776180,Kim,Ralls,Stocker,2008-07-26,1983-11-29,adventure-works\kim0,kim0@adventure-works.com,309-555-0129,S,F,1,9.00,98,69,1,Shipping and Receiving,2008-07-26,NULL,Current
75,138,604664374,Sandra,Reátegui Alayo,Production Technician - WC30,2008-07-26,1975-06-05,adventure-works\sandra0,sandra0@adventure-works.com,896-555-0168,M,F,1,9.50,37,38,1,Production,2008-07-26,NULL,Current
76,23,778552911,Kok-Ho,Loh,Production Supervisor - WC50,2008-07-27,1979-11-27,adventure-works\kok-ho0,kok-ho0@adventure-works.com,999-555-0155,S,M,2,25.00,78,59,1,Production,2008-07-27,NULL,Current
77,163,435234965,Douglas,Hite,Production Technician - WC45,2008-07-27,1985-06-24,adventure-works\douglas0,douglas0@adventure-works.com,808-555-0172,M,M,1,10.00,80,60,1,Production,2008-07-27,NULL,Current
78,9,339712426,James,Kramer,Production Technician - WC60,2008-07-27,1984-02-23,adventure-works\james0,james0@adventure-works.com,119-555-0117,M,M,1,12.45,39,39,1,Production,2008-07-27,NULL,Current
79,43,403414852,Sean,Alexander,Quality Assurance Technician,2008-07-28,1975-10-05,adventure-works\sean0,sean0@adventure-works.com,420-555-0173,S,M,2,10.5769,82,61,1,Quality Assurance,2008-07-28,NULL,Current
80,186,368920189,Nitin,Mirchandani,Production Technician - WC20,2008-07-28,1986-07-01,adventure-works\nitin0,nitin0@adventure-works.com,143-555-0173,S,M,1,14.00,21,30,1,Production,2008-07-28,NULL,Current
81,162,811994146,Diane,Margheim,Research and Development Engineer,2008-07-29,1986-01-03,adventure-works\diane1,diane1@adventure-works.com,815-555-0138,S,F,2,408.654,62,51,1,Research and Development,2008-07-29,NULL,Current
82,18,330211482,Rebecca,Laszlo,Production Technician - WC60,2008-07-29,1988-02-04,adventure-works\rebecca0,rebecca0@adventure-works.com,314-555-0113,M,F,1,12.45,23,31,1,Production,2008-07-29,NULL,Current
83,214,632092621,Rajesh,Patel,Production Technician - WC40,2008-07-31,1977-05-04,adventure-works\rajesh0,rajesh0@adventure-works.com,373-555-0137,M,M,1,15.00,48,44,1,Production,2008-07-31,NULL,Current
84,32,264306399,Vidur,Luthra,Recruiter,2008-08-01,1984-03-01,adventure-works\vidur0,vidur0@adventure-works.com,153-555-0186,S,M,2,182.692,50,45,1,Human Resources,2008-08-01,NULL,Current
85,40,981597097,John,Evans,Production Technician - WC50,2008-08-01,1977-12-29,adventure-works\john1,john1@adventure-works.com,172-555-0130,S,M,1,11.00,91,65,1,Production,2008-08-01,NULL,Current
86,9,693325305,Nancy,Anderson,Production Technician - WC60,2008-08-02,1988-06-19,adventure-works\nancy0,nancy0@adventure-works.com,970-555-0118,M,F,1,12.45,34,37,1,Production,2008-08-02,NULL,Current
87,23,521265716,Pilar,Ackerman,Shipping and Receiving Supervisor,2008-08-02,1972-04-09,adventure-works\pilar0,pilar0@adventure-works.com,577-555-0185,S,M,2,192.308,93,66,1,Shipping and Receiving,2008-08-02,NULL,Current
88,188,746373306,David,Yalovsky,Production Technician - WC30,2008-08-02,1981-03-03,adventure-works\david3,david3@adventure-works.com,373-555-0142,S,M,1,9.50,32,36,1,Production,2008-08-02,NULL,Current
89,23,750905084,David,Hamilton,Production Supervisor - WC40,2008-08-03,1983-01-30,adventure-works\david4,david4@adventure-works.com,986-555-0177,S,M,2,25.00,73,56,1,Production,2008-08-03,NULL,Current
90,126,514829225,Laura,Steele,Production Technician - WC45,2008-08-03,1980-07-25,adventure-works\laura0,laura0@adventure-works.com,777-555-0141,S,F,1,10.00,75,57,1,Production,2008-08-03,NULL,Current
91,18,750246141,Margie,Shoop,Production Technician - WC60,2008-08-04,1985-12-18,adventure-works\margie0,margie0@adventure-works.com,818-555-0128,M,F,1,12.45,18,29,1,Production,2008-08-04,NULL,Current
92,204,345106466,Zainal,Arifin,Document Control Manager,2008-08-04,1975-08-30,adventure-works\zainal0,zainal0@adventure-works.com,204-555-0115,M,M,2,177.885,77,58,1,Document Control,2008-08-04,NULL,Current
93,214,19312190,Lorraine,Nay,Production Technician - WC40,2008-08-04,1988-06-26,adventure-works\lorraine0,lorraine0@adventure-works.com,845-555-0184,M,F,1,15.00,49,44,1,Production,2008-08-04,NULL,Current
94,147,212801092,Fadi,Fakhouri,Production Technician - WC20,2008-08-04,1988-09-15,adventure-works\fadi0,fadi0@adventure-works.com,935-555-0116,S,M,1,14.00,16,28,1,Production,2008-08-04,NULL,Current
95,53,769680433,Ryan,Cornelsen,Production Technician - WC40,2008-08-05,1972-01-12,adventure-works\ryan0,ryan0@adventure-works.com,208-555-0114,M,M,1,15.00,59,49,1,Production,2008-08-05,NULL,Current
96,142,60517918,Candy,Spoon,Accounts Receivable Specialist,2008-08-06,1975-09-23,adventure-works\candy0,candy0@adventure-works.com,920-555-0177,S,F,2,19.00,61,50,1,Finance,2008-08-06,NULL,Current
97,76,431859843,Nuan,Yu,Production Technician - WC50,2008-08-06,1978-10-27,adventure-works\nuan0,nuan0@adventure-works.com,913-555-0184,S,M,1,11.00,2,21,1,Production,2008-08-06,NULL,Current
98,46,621209647,William,Vong,Scheduling Assistant,2008-08-07,1981-06-06,adventure-works\william0,william0@adventure-works.com,148-555-0145,M,M,2,16.00,45,42,1,Production Control,2008-08-07,2011-03-31,NULL
99,46,621209647,William,Vong,Scheduling Assistant,2008-08-07,1981-06-06,adventure-works\william0,william0@adventure-works.com,148-555-0145,M,M,2,16.00,45,42,1,Production Control,2011-04-01,NULL,Current
100,177,420023788,Bjorn,Rettig,Production Technician - WC30,2008-08-07,1989-06-06,adventure-works\bjorn0,bjorn0@adventure-works.com,199-555-0117,S,M,1,9.50,43,41,1,Production,2008-08-07,NULL,Current
101,201,199546871,Scott,Gode,Production Technician - WC45,2008-08-08,1986-09-10,adventure-works\scott0,scott0@adventure-works.com,391-555-0138,M,M,1,10.00,86,63,1,Production,2008-08-08,NULL,Current
102,89,830150469,Michael,Rothkugel,Production Technician - WC40,2008-08-10,1990-08-04,adventure-works\michael1,michael1@adventure-works.com,454-555-0119,S,M,1,15.00,70,55,1,Production,2008-08-10,NULL,Current
103,147,322160340,Lane,Sacksteder,Production Technician - WC20,2008-08-11,1974-04-23,adventure-works\lane0,lane0@adventure-works.com,200-555-0117,M,M,1,14.00,11,25,1,Production,2008-08-11,NULL,Current
104,16,827686041,Pete,Male,Production Technician - WC50,2008-08-11,1976-09-03,adventure-works\pete0,pete0@adventure-works.com,768-555-0123,S,M,1,11.00,13,26,1,Production,2008-08-11,NULL,Current
105,44,671089628,Dan,Bacon,Application Specialist,2008-08-11,1981-01-24,adventure-works\dan0,dan0@adventure-works.com,166-555-0159,M,M,2,274.038,72,56,1,Information Services,2008-08-11,NULL,Current
106,143,231203233,David,Barber,Assistant to the Chief Financial Officer,2008-08-12,1964-01-20,adventure-works\david5,david5@adventure-works.com,477-555-0132,S,M,2,134.615,56,48,1,Finance,2008-08-12,NULL,Current
107,76,204035155,Lolan,Song,Production Technician - WC50,2008-08-12,1972-08-24,adventure-works\lolan0,lolan0@adventure-works.com,582-555-0178,M,M,1,11.00,7,23,1,Production,2008-08-12,NULL,Current
108,214,992874797,Paula,Nartker,Production Technician - WC40,2008-08-12,1986-09-10,adventure-works\paula1,paula1@adventure-works.com,476-555-0119,M,F,1,15.00,54,47,1,Production,2008-08-12,NULL,Current
109,7,767955365,Mary,Gibson,Marketing Specialist,2008-08-12,1962-04-13,adventure-works\mary0,mary0@adventure-works.com,531-555-0183,M,F,2,144.231,46,43,1,Marketing,2008-08-12,NULL,Current
110,40,342607223,Mindaugas,Krapauskas,Production Technician - WC50,2008-08-13,1977-12-05,adventure-works\mindaugas0,mindaugas0@adventure-works.com,637-555-0120,M,M,1,11.00,97,68,1,Production,2008-08-13,NULL,Current
111,23,45615666,Eric,Gubbels,Production Supervisor - WC20,2008-08-14,1984-08-19,adventure-works\eric0,eric0@adventure-works.com,260-555-0119,M,M,2,25.00,40,40,1,Production,2008-08-14,NULL,Current
112,NULL,295847284,Ken,Sánchez,Chief Executive Officer,2008-08-14,1968-08-29,adventure-works\ken0,ken0@adventure-works.com,697-555-0142,S,M,2,125.50,99,69,1,Executive,2008-08-14,NULL,Current
113,138,733022683,Jason,Watters,Production Technician - WC30,2008-08-14,1988-07-07,adventure-works\jason0,jason0@adventure-works.com,571-555-0179,S,M,1,9.50,38,39,1,Production,2008-08-14,NULL,Current
114,43,381772114,Mark,Harrington,Quality Assurance Technician,2008-08-15,1985-11-28,adventure-works\mark0,mark0@adventure-works.com,147-555-0179,S,M,2,10.5769,83,61,1,Quality Assurance,2008-08-15,NULL,Current
115,163,187369436,Janeth,Esteves,Production Technician - WC45,2008-08-15,1972-02-22,adventure-works\janeth0,janeth0@adventure-works.com,540-555-0191,S,F,1,10.00,81,60,1,Production,2008-08-15,NULL,Current
116,188,364818297,Marc,Ingle,Production Technician - WC30,2008-08-16,1986-05-24,adventure-works\marc0,marc0@adventure-works.com,234-555-0169,M,M,1,9.50,22,31,1,Production,2008-08-16,NULL,Current
117,162,658797903,Gigi,Matthew,Research and Development Engineer,2008-08-16,1978-08-21,adventure-works\gigi0,gigi0@adventure-works.com,185-555-0186,M,F,2,408.654,63,51,1,Research and Development,2008-08-16,NULL,Current
118,111,886023130,Paul,Singh,Production Technician - WC20,2008-08-17,1990-06-04,adventure-works\paul1,paul1@adventure-works.com,727-555-0112,M,M,1,14.00,6,23,1,Production,2008-08-17,NULL,Current
119,214,749211824,Frank,Lee,Production Technician - WC40,2008-08-17,1987-04-06,adventure-works\frank0,frank0@adventure-works.com,158-555-0191,M,M,1,15.00,56,48,1,Production,2008-08-17,NULL,Current
120,44,643805155,François,Ajenstat,Database Administrator,2008-08-17,1980-06-13,adventure-works\françois0,françois0@adventure-works.com,785-555-0110,S,M,2,384.615,67,53,1,Information Services,2008-08-17,NULL,Current
121,16,92096924,Diane,Tibbott,Production Technician - WC50,2008-08-18,1989-03-09,adventure-works\diane2,diane2@adventure-works.com,361-555-0180,S,F,1,11.00,8,24,1,Production,2008-08-18,NULL,Current
122,7,72636981,Jill,Williams,Marketing Specialist,2008-08-18,1979-01-16,adventure-works\jill0,jill0@adventure-works.com,510-555-0121,M,F,2,144.231,47,43,1,Marketing,2008-08-18,NULL,Current
123,40,563680513,Angela,Barbariol,Production Technician - WC50,2008-08-20,1990-12-29,adventure-works\angela0,angela0@adventure-works.com,150-555-0194,S,F,1,11.00,92,66,1,Production,2008-08-20,NULL,Current
124,87,584205124,Matthias,Berndt,Shipping and Receiving Clerk,2008-08-20,1973-06-11,adventure-works\matthias0,matthias0@adventure-works.com,139-555-0120,M,M,2,9.50,94,67,1,Shipping and Receiving,2008-08-20,NULL,Current
125,9,458159238,Bryan,Baker,Production Technician - WC60,2008-08-21,1973-03-27,adventure-works\bryan0,bryan0@adventure-works.com,712-555-0113,S,M,1,12.45,35,37,1,Production,2008-08-21,NULL,Current
126,23,712885347,Jeff,Hay,Production Supervisor - WC45,2008-08-21,1976-08-15,adventure-works\jeff0,jeff0@adventure-works.com,350-555-0167,M,M,2,25.00,74,57,1,Production,2008-08-21,NULL,Current
127,188,87268837,Eugene,Zabokritski,Production Technician - WC30,2008-08-21,1987-02-12,adventure-works\eugene0,eugene0@adventure-works.com,241-555-0191,S,M,1,9.50,33,36,1,Production,2008-08-21,NULL,Current
128,186,969985265,Barbara,Decker,Production Technician - WC20,2008-08-22,1984-07-29,adventure-works\barbara0,barbara0@adventure-works.com,119-555-0192,M,F,1,14.00,17,28,1,Production,2008-08-22,NULL,Current
129,126,539490372,Chris,Preston,Production Technician - WC45,2008-08-22,1988-07-16,adventure-works\chris0,chris0@adventure-works.com,200-555-0112,M,M,1,10.00,76,58,1,Production,2008-08-22,NULL,Current
